climbing,panjat
area,daerah
half,setengah
rock,batu
order,rangka
fire,api
south,selatan
problem,masalah
piece,piece
told,mengatakan
knew,tahu
pass,lulus
since,karena
top,atas
whole,seluruh
king,raja
street,jalan
inch,inch
multiply,kalikan
nothing,tidak ada
course,tentu saja
stay,tinggal
wheel,roda
full,penuh
force,kekuatan
blue,biru
object,objek
decide,memutuskan
surface,permukaan
deep,dalam
moon,bulan
island,pulau
foot,kaki
system,sistem
busy,sibuk
test,uji
record,rekor
boat,perahu
common,umum
gold,emas
possible,mungkin
plane,pesawat
stead,manfaat
dry,kering
wonder,bertanya-tanya
laugh,tertawa
thousand,ribu
ago,lalu
ran,ran
check,memeriksa
game,permainan
shape,bentuk
equate,menyamakan
miss,rindu
brought,membawa
heat,panas
snow,salju
tire,ban
bring,membawa
yes,ya
distant,jauh
fill,mengisi
east,timur
paint,cat
language,bahasa
among,antara
unit,Unit
power,daya
town,kota
fine,halus
certain,tertentu
fly,terbang
fall,jatuh
lead,memimpin
cry,menangis
dark,gelap
machine,mesin
note,catatan
wait,menunggu
plan,rencana
figure,angka
star,bintang
box,kotak
noun,nomina
field,lapangan
rest,sisanya
correct,benar
able,mampu
pound,pound
done,dilakukan
beauty,kecantikan
drive,berkendara
stood,berdiri
contain,berisi
front,depan
teach,mengajar
week,minggu
final,akhir
gave,memberi
green,hijau
oh,oh
quick,cepat
develop,mengembangkan
ocean,ocean
warm,hangat
free,gratis
minute,menit
strong,kuat
special,khusus
mind,pikiran
behind,di belakang
clear,jelas
tail,ekor
produce,menghasilkan
fact,Bahkan
space,ruang
heard,mendengar
best,terbaik
hour,jam
better,lebih baik
true,benar
during,selama
hundred,ratus
five,lima
remember,ingat
step,langkah
early,awal
hold,terus
west,barat
ground,tanah
interest,bunga
reach,mencapai
fast,cepat
verb,kata kerja
sing,bernyanyi
listen,mendengarkan
six,enam
table,tabel
travel,wisata
less,kurang
morning,pagi
ten,sepuluh
simple,sederhana
several,beberapa
vowel,vokal
toward,menuju
war,perang
lay,berbaring
against,terhadap
pattern,pola
slow,lambat
center,pusat
love,cinta
person,orang
money,uang
serve,melayani
appear,muncul
road,jalan
map,peta
rain,hujan
rule,aturan
govern,mengatur
pull,menarik
cold,dingin
notice,pemberitahuan
voice,suara
energy,energi
hunt,berburu
probable,kemungkinan
bed,tidur
brother,saudara
egg,telur
ride,naik
cell,sel
believe,percaya
perhaps,mungkin
pick,memilih
sudden,tiba-tiba
count,menghitung
square,persegi
reason,alasan
length,panjang
represent,mewakili
art,seni
subject,Subjek
region,wilayah
size,ukuran
vary,bervariasi
settle,menyelesaikan
speak,berbicara
weight,berat
general,umum
ice,es
matter,peduli
circle,lingkaran
pair,pasangan
include,termasuk
divide,membagi
syllable,suku kata
felt,merasa
grand,agung
ball,bola
yet,belum
wave,gelombang
drop,menjatuhkan
heart,jantung
am,am
present,sekarang
heavy,berat
dance,tari
engine,mesin
position,posisi
arm,lengan
wide,lebar
sail,berlayar
material,materi
fraction,fraksi
forest,hutan
sit,duduk
race,ras
window,window
store,toko
summer,musim panas
train,kereta
sleep,tidur
prove,membuktikan
lone,lone
leg,kaki
exercise,latihan
wall,wall
catch,catch
mount,gunung
wish,ingin
sky,langit
board,papan
joy,sukacita
winter,musim dingin
sat,duduk
written,ditulis
wild,liar
instrument,instrument
kept,terus
glass,kaca
grass,rumput
cow,sapi
job,pekerjaan
edge,tepi
sign,tanda
visit,kunjungan
past,masa lalu
soft,lembut
fun,menyenangkan
bright,cerah
gas,gas
weather,cuaca
month,bulan
million,juta
bear,menanggung
finish,selesai
happy,senang
hope,berharap
flower,bunga
clothe,menutupi
strange,aneh
gone,pergi
trade,perdagangan
melody,melodi
trip,perjalanan
office,kantor
receive,menerima
row,baris
mouth,mulut
exact,tepat
symbol,simbol
die,mati
least,setidaknya
trouble,masalah
shout,berteriak
except,kecuali
wrote,menulis
seed,benih
tone,nada
join,bergabung
suggest,menyarankan
clean,bersih
break,istirahat
lady,wanita
yard,yard
rise,naik
bad,buruk
blow,pukulan
oil,minyak
blood,darah
touch,sentuh
grew,tumbuh
cent,persen
mix,mencampur
team,tim
wire,kawat
cost,biaya
lost,hilang
brown,coklat
wear,memakai
garden,garden
equal,sama
sent,dikirim
choose,pilih
fell,jatuh
fit,cocok
flow,mengalir
fair,adil
bank,Bank
collect,mengumpulkan
save,menyimpan
control,kontrol
decimal,desimal
ear,telinga
else,lain
quite,cukup
broke,pecah
case,kasus
middle,tengah
kill,membunuh
son,putra
lake,danau
moment,saat
scale,skala
loud,keras
spring,musim semi
observe,mengamati
child,anak
straight,lurus
consonant,konsonan
nation,bangsa
dictionary,kamus
milk,susu
speed,kecepatan
method,metode
organ,organ
pay,membayar
age,usia
section,bagian
dress,dress
cloud,awan
surprise,kejutan
quiet,tenang
stone,batu
tiny,kecil
climb,naik
cool,dingin
design,desain
poor,miskin
lot,banyak
experiment,percobaan
bottom,bottom
key,kunci
iron,besi
single,single
stick,tongkat
flat,datar
twenty,dua puluh
skin,kulit
smile,senyum
crease,lipatan
hole,lubang
jump,melompat
baby,bayi
eight,delapan
village,desa
meet,bertemu
root,akar
buy,membeli
raise,meningkatkan
solve,memecahkan
metal,logam
whether,apakah
push,mendorong
seven,tujuh
paragraph,ayat
third,ketiga
shall,wajib
held,diadakan
hair,rambut
describe,menjelaskan
cook,cook
floor,lantai
either,baik
result,hasil
burn,membakar
hill,hill
safe,aman
cat,kucing
century,abad
consider,pertimbangkan
type,Jenis
law,hukum
bit,bit
coast,pantai
copy,copy
phrase,frase
silent,diam
tall,tinggi
sand,pasir
soil,tanah
roll,gulungan
temperature,suhu
finger,jari
industry,industri
value,nilai
fight,melawan
lie,kebohongan
beat,mengalahkan
excite,menggairahkan
natural,alam
view,Tampilan
sense,akal
capital,modal
won’t,tidak akan
chair,kursi
danger,bahaya
fruit,buah
rich,kaya
thick,tebal
soldier,tentara
process,proses
operate,mengoperasikan
practice,praktek
separate,terpisah
difficult,sulit
doctor,dokter
please,silahkan
protect,melindungi
noon,siang
crop,tanaman
modern,yang modern
element,elemen
hit,hit
student,mahasiswa
corner,sudut
party,partai
supply,pasokan
whose,yang
locate,mencari
ring,cincin
character,karakter
insect,serangga
caught,tertangkap
period,periode
indicate,menunjukkan
radio,radio
spoke,berbicara
atom,atom
human,manusia
history,sejarah
effect,efek
electric,listrik
expect,mengharapkan
bone,tulang
rail,rel
imagine,bayangkan
provide,menyediakan
agree,setuju
thus,demikian
gentle,lembut
woman,wanita
captain,kapten
guess,menebak
necessary,diperlukan
sharp,tajam
wing,sayap
create,membuat
neighbor,tetangga
wash,mencuci
bat,kelelawar
rather,agak
crowd,kerumunan
corn,jagung
compare,membandingkan
poem,puisi
string,String
bell,bell
depend,tergantung
meat,daging
rub,menggosok
tube,tube
famous,terkenal
dollar,dolar
stream,aliran
fear,takut
sight,penglihatan
thin,tipis
triangle,segitiga
planet,planet
hurry,terburu-buru
chief,kepala
colony,koloni
clock,jam
mine,tambang
tie,dasi
enter,masukkan
major,utama
fresh,segar
search,pencarian
send,mengirim
yellow,kuning
gun,pistol
allow,memungkinkan
print,mencetak
dead,mati
spot,tempat
desert,gurun
suit,setelan
current,saat ini
lift,angkat
rose,naik
arrive,tiba
master,Master
track,jalur
parent,induk
shore,shore
division,divisi
sheet,sheet
substance,substansi
favor,mendukung
connect,menghubungkan
post,posting
spend,menghabiskan
chord,chord
fat,lemak
glad,senang
original,asli
share,share
station,stasiun
dad,ayah
bread,roti
charge,biaya
proper,tepat
bar,bar
offer,Penawaran
segment,ruas
slave,budak
duck,bebek
instant,instant
market,pasar
degree,gelar
populate,mengisi
chick,cewek
dear,sayang
enemy,musuh
reply,membalas
drink,minuman
occur,terjadi
support,mendukung
speech,pidato
nature,alam
range,Kisaran
steam,steam
motion,gerak
path,path
liquid,cair
log,login
meant,berarti
quotient,quotient
teeth,gigi
shell,shell
neck,leher
oxygen,oksigen
sugar,gula
death,kematian
pretty,cukup
skill,keterampilan
women,wanita
season,musim
solution,larutan
magnet,magnet
silver,perak
thank,terima
branch,cabang
match,pertandingan
suffix,akhiran
especially,terutama
fig,ara
afraid,takut
huge,besar
sister,adik
steel,baja
discuss,mendiskusikan
forward,maju
similar,serupa
guide,panduan
experience,pengalaman
score,Rata
apple,apple
bought,membeli
led,dipimpin
pitch,nada
coat,mantel
mass,massa
card,kartu
band,pita
rope,tali
slip,Slip
win,menang
dream,mimpi
evening,malam
condition,kondisi
feed,pakan
tool,alat
total,total
basic,dasar
smell,bau
valley,lembah
nor,atau
double,ganda
seat,kursi
continue,terus
block,blok
chart,grafik
hat,hat
sell,menjual
success,keberhasilan
company,perusahaan
subtract,kurangi
event,peristiwa
particular,tertentu
deal,kesepakatan
swim,berenang
term,istilah
opposite,sebaliknya
wife,istri
shoe,sepatu
shoulder,bahu
spread,penyebaran
arrange,mengatur
camp,camp
invent,menciptakan
cotton,kapas
born,Lahir
determine,menentukan
quart,liter
nine,sembilan
truck,truk
noise,noise
level,tingkat
chance,kesempatan
gather,mengumpulkan
shop,shop
stretch,stretch
throw,membuang
shine,bersinar
property,properti
column,kolom
molecule,molekul
select,pilih
wrong,salah
gray,abu-abu
repeat,ulangi
require,membutuhkan
broad,luas
prepare,mempersiapkan
salt,garam
nose,hidung
plural,plural
anger,kemarahan
claim,klaim
continent,benua
mini-cab:bus,angkot
